Line#,Time,R1,G1,B1,R2,G2,B2,SELECT,CLK,LAT,OE
323,-2564440,0,0,0,0,0,0,06,1,0,0
324,-2564400,0,0,0,0,0,0,06,0,0,0
325,-2564360,0,0,0,0,0,0,06,1,0,0
326,-2564320,0,0,0,0,0,0,06,0,0,0
327,-2564280,0,0,0,0,0,0,06,1,0,0
328,-2564240,0,0,0,0,0,0,06,0,0,0
329,-2564200,0,0,0,0,0,0,06,1,0,0
330,-2564160,0,0,0,0,0,0,06,0,0,0
331,-2564120,0,0,0,0,0,0,06,1,0,0
332,-2564080,0,0,0,0,0,0,06,0,0,0
333,-2564040,0,0,0,0,0,0,06,1,0,0
334,-2564000,0,0,0,0,0,0,06,0,0,0
335,-2563960,0,0,0,0,0,0,06,1,0,0
336,-2563920,0,0,0,0,0,0,06,0,0,0
337,-2563880,0,0,0,0,0,0,06,1,0,0
338,-2563840,0,0,0,0,0,0,06,0,0,0
339,-2563800,0,0,0,0,0,0,06,1,0,0
340,-2563760,0,0,0,0,0,0,06,0,0,0
341,-2563720,0,0,0,0,0,0,06,1,0,0
342,-2563680,0,0,0,0,0,0,06,0,0,0
343,-2563640,0,0,0,0,0,0,06,1,0,0
344,-2563600,0,0,0,0,0,0,06,0,0,0
345,-2563560,0,0,0,0,0,0,06,1,0,0
346,-2563520,0,0,0,0,0,0,06,0,0,0
347,-2563480,0,0,0,0,0,0,06,1,0,0
348,-2563440,0,0,0,0,0,0,06,0,0,0
349,-2563400,0,0,0,0,0,0,06,1,0,0
350,-2563360,0,0,0,0,0,0,06,0,0,0
351,-2563320,0,0,0,0,0,0,06,1,0,0
352,-2563280,0,0,0,0,0,0,06,0,0,0
353,-2563240,0,0,0,0,0,0,06,1,0,0
354,-2563200,0,0,0,0,0,0,06,0,0,0
355,-2563160,0,0,0,0,0,0,06,1,0,0
356,-2563120,0,0,0,0,0,0,06,0,0,0
357,-2563080,0,0,0,0,0,0,06,1,0,0
358,-2563040,0,0,0,0,0,0,06,0,0,0
359,-2563000,0,0,0,0,0,0,06,1,0,0
360,-2562960,0,0,0,0,0,0,06,0,0,0
361,-2562920,0,0,0,0,0,0,06,1,0,0
362,-2562880,0,0,0,0,0,0,06,0,0,0
363,-2562840,0,0,0,0,0,0,06,1,0,0
364,-2562800,0,0,0,0,0,0,06,0,0,0
365,-2562760,0,0,0,0,0,0,06,1,0,0
366,-2562720,0,0,0,0,0,0,06,0,0,0
367,-2562680,0,0,0,0,0,0,06,1,0,0
368,-2562640,0,0,0,0,0,0,06,0,0,0
369,-2562600,0,0,0,0,0,0,06,1,0,0
370,-2562560,0,0,0,0,0,0,06,0,0,0
371,-2562520,0,0,0,0,0,0,06,1,0,0
372,-2562480,0,0,0,0,0,0,06,0,0,0
373,-2562440,0,0,0,0,0,0,06,1,0,0
374,-2562400,0,0,0,0,0,0,06,0,0,0
375,-2562360,0,0,0,0,0,0,06,1,0,0
376,-2562320,0,0,0,0,0,0,06,0,0,0
377,-2562280,0,0,0,0,0,0,06,1,0,0
378,-2562240,0,0,0,0,0,0,06,0,0,0
379,-2562200,0,0,0,0,0,0,06,1,0,0
380,-2562180,0,0,0,0,0,0,07,1,0,0
381,-2562160,0,0,0,0,0,0,07,0,0,0
382,-2562120,0,0,0,0,0,0,07,1,0,0
383,-2562080,0,0,0,0,0,0,07,0,0,0
384,-2562040,0,0,0,0,0,0,07,1,0,0
385,-2562000,0,0,0,0,0,0,07,0,0,0
386,-2561960,0,0,0,0,0,0,07,1,0,0
387,-2561920,0,0,0,0,0,0,07,0,0,0
388,-2561880,0,0,0,0,0,0,07,1,0,0
389,-2561840,0,0,0,0,0,0,07,0,0,0
390,-2561800,0,0,0,0,0,0,07,1,0,0
391,-2561760,0,0,0,0,0,0,07,0,0,0
392,-2561720,0,0,0,0,0,0,07,1,0,0
393,-2561680,0,0,0,0,0,0,07,0,0,0
394,-2561660,0,0,0,0,0,0,07,0,0,1
395,-2561640,0,0,0,0,0,0,07,1,0,1
396,-2561600,0,0,0,0,0,0,07,0,0,1
397,-2561560,0,0,0,0,0,0,07,1,0,1
398,-2561520,0,0,0,0,0,0,07,0,0,1
399,-2561480,0,0,0,0,0,0,07,1,0,1
400,-2561440,0,0,0,0,0,0,07,0,0,1
401,-2561400,0,0,0,0,0,0,07,1,0,1
402,-2561360,0,0,0,0,0,0,07,0,0,1
403,-2561330,0,0,0,0,0,0,07,0,0,0
404,-2561320,0,0,0,0,0,0,07,1,0,0
405,-2561280,0,0,0,0,0,0,07,0,0,0
406,-2561240,0,0,0,0,0,0,07,1,0,0
407,-2561200,0,0,0,0,0,0,07,0,0,0
408,-2561160,0,0,0,0,0,0,07,1,0,0
409,-2561120,0,0,0,0,0,0,07,0,0,0
410,-2561080,0,0,0,0,0,0,07,1,0,0
411,-2561040,0,0,0,0,0,0,07,0,0,0
412,-2561000,0,0,0,0,0,0,07,1,0,0
413,-2560960,0,0,0,0,0,0,07,0,0,0
414,-2560920,0,0,0,0,0,0,07,1,0,0
415,-2560880,0,0,0,0,0,0,07,0,0,0
416,-2560840,0,0,0,0,0,0,07,1,0,0
417,-2560800,0,0,0,0,0,0,07,0,0,0
418,-2560760,0,0,0,0,0,0,07,1,0,0
419,-2560720,0,0,0,0,0,0,07,0,0,0
420,-2560680,0,0,0,0,0,0,07,1,0,0
421,-2560640,0,0,0,0,0,0,07,0,0,0
422,-2560600,0,0,0,0,0,0,07,1,0,0
423,-2560560,0,0,0,0,0,0,07,0,0,0
424,-2560520,0,0,0,0,0,0,07,1,0,0
425,-2560480,0,0,0,0,0,0,07,0,0,0
426,-2560440,0,0,0,0,0,0,07,1,0,0
427,-2560400,0,0,0,0,0,0,07,0,0,0
428,-2560360,0,0,0,0,0,0,07,1,0,0
429,-2560320,0,0,0,0,0,0,07,0,0,0
430,-2560280,0,0,0,0,0,0,07,1,0,0
431,-2560240,0,0,0,0,0,0,07,0,0,0
432,-2560200,0,0,0,0,0,0,07,1,0,0
433,-2560160,0,0,0,0,0,0,07,0,0,0
434,-2560120,0,0,0,0,0,0,07,1,0,0
435,-2560080,0,0,0,0,0,0,07,0,0,0
436,-2560040,0,0,0,0,0,0,07,1,0,0
437,-2560000,0,0,0,0,0,0,07,0,0,0
438,-2559960,0,0,0,0,0,0,07,1,0,0
439,-2559920,0,0,0,0,0,0,07,0,0,0
440,-2559880,0,0,0,0,0,0,07,1,0,0
441,-2559840,0,0,0,0,0,0,07,0,0,0
442,-2559800,0,0,0,0,0,0,07,1,0,0
443,-2559760,0,0,0,0,0,0,07,0,0,0
444,-2559720,0,0,0,0,0,0,07,1,0,0
445,-2559680,0,0,0,0,0,0,07,0,0,0
446,-2559640,0,0,0,0,0,0,07,1,0,0
447,-2559600,0,0,0,0,0,0,07,0,0,0
448,-2559560,0,0,0,0,0,0,07,1,0,0
449,-2559520,0,0,0,0,0,0,07,0,0,0
450,-2559480,0,0,0,0,0,0,07,1,0,0
451,-2559440,0,0,0,0,0,0,07,0,0,0
452,-2559400,0,0,0,0,0,0,07,1,0,0
453,-2559360,0,0,0,0,0,0,07,0,0,0
