Line#,Time,OE,LAT,CLK,SELECT,B2,G2,R2,B1,G1,R1
360,7590,0,0,0,01,0,1,1,0,1,1
361,7600,0,0,1,01,0,0,0,0,0,0
362,7650,0,0,0,01,0,0,0,0,0,0
363,7680,0,0,1,01,0,0,0,0,0,0
364,7730,0,0,0,01,0,0,0,0,0,0
365,7760,0,0,1,01,0,0,0,0,0,0
366,7810,0,0,0,01,0,0,0,0,0,0
367,7840,0,0,1,01,0,0,0,0,0,0
368,7890,0,0,0,01,0,0,0,0,0,0
369,7920,0,0,1,01,0,0,0,0,0,0
370,7970,0,0,0,01,0,0,0,0,0,0
371,8000,0,0,1,01,0,0,0,0,0,0
372,8050,0,0,0,01,0,0,0,0,0,0
373,8080,0,0,1,01,0,0,0,0,0,0
374,8130,0,0,0,01,0,0,0,0,0,0
375,8160,0,0,1,01,0,0,0,0,0,0
376,8210,0,0,0,01,0,0,0,0,0,0
377,8220,0,0,0,01,1,0,0,1,0,0
378,8230,0,0,0,01,1,1,0,1,1,0
379,8240,0,0,1,01,1,1,1,1,1,1
380,8290,0,0,0,01,1,1,1,1,1,1
381,8320,0,0,1,01,1,1,1,1,1,1
382,8370,0,0,0,01,1,1,1,1,1,1
383,8390,0,0,0,01,0,1,1,0,1,1
384,8400,0,0,1,01,0,0,0,0,0,0
385,8450,0,0,0,01,0,0,0,0,0,0
386,8460,0,0,0,01,1,0,0,1,0,0
387,8470,0,0,0,01,1,1,0,1,1,0
388,8480,0,0,1,01,1,1,1,1,1,1
389,8530,0,0,0,01,1,1,1,1,1,1
390,8550,0,0,0,01,0,1,1,0,1,1
391,8560,0,0,1,01,0,0,0,0,0,0
392,8610,0,0,0,01,0,0,0,0,0,0
393,8620,0,0,0,01,1,0,0,1,0,0
394,8630,0,0,0,01,1,1,0,1,1,0
395,8640,0,0,1,01,1,1,1,1,1,1
396,8690,0,0,0,01,1,1,1,1,1,1
397,8710,0,0,0,01,0,1,1,0,1,1
398,8720,0,0,1,01,0,0,0,0,0,0
399,8770,0,0,0,01,0,0,0,0,0,0
400,8780,0,0,0,01,1,0,0,1,0,0
401,8790,0,0,0,01,1,1,0,1,1,0
402,8800,0,0,1,01,1,1,1,1,1,1
403,8850,0,0,0,01,1,1,1,1,1,1
404,8870,0,0,0,01,0,1,1,0,1,1
405,8880,0,0,1,01,0,0,0,0,0,0
406,8930,0,0,0,01,0,0,0,0,0,0
407,8960,0,0,1,01,0,0,0,0,0,0
408,9010,0,0,0,01,0,0,0,0,0,0
409,9040,0,0,1,01,0,0,0,0,0,0
410,9090,0,0,0,01,0,0,0,0,0,0
411,9120,0,0,1,01,0,0,0,0,0,0
412,9170,0,0,0,01,0,0,0,0,0,0
413,9200,0,0,1,01,0,0,0,0,0,0
414,9250,0,0,0,01,0,0,0,0,0,0
415,9280,0,0,1,01,0,0,0,0,0,0
416,9330,0,0,0,01,0,0,0,0,0,0
417,9360,0,0,1,01,0,0,0,0,0,0
418,9410,0,0,0,01,0,0,0,0,0,0
419,9440,0,0,1,01,0,0,0,0,0,0
420,9490,0,0,0,01,0,0,0,0,0,0
421,9500,0,0,0,01,1,0,0,1,0,0
422,9510,0,0,0,01,1,1,0,1,1,0
423,9520,0,0,1,01,1,1,1,1,1,1
424,9570,0,0,0,01,1,1,1,1,1,1
425,9600,0,0,1,01,1,1,1,1,1,1
426,9650,0,0,0,01,1,1,1,1,1,1
427,9670,0,0,0,01,0,1,1,0,1,1
428,9680,0,0,1,01,0,0,0,0,0,0
429,9730,0,0,0,01,0,0,0,0,0,0
430,9740,0,0,0,01,1,0,0,1,0,0
431,9750,0,0,0,01,1,1,0,1,1,0
432,9760,0,0,1,01,1,1,1,1,1,1
433,9810,0,0,0,01,1,1,1,1,1,1
434,9830,0,0,0,01,0,1,1,0,1,1
435,9840,0,0,1,01,0,0,0,0,0,0
436,9890,0,0,0,01,0,0,0,0,0,0
437,9900,0,0,0,01,1,0,0,1,0,0
438,9910,0,0,0,01,1,1,0,1,1,0
439,9920,0,0,1,01,1,1,1,1,1,1
440,9970,0,0,0,01,1,1,1,1,1,1
441,9990,0,0,0,01,0,1,1,0,1,1
442,10000,0,0,1,01,0,0,0,0,0,0
443,10050,0,0,0,01,0,0,0,0,0,0
444,10060,0,0,0,01,1,0,0,1,0,0
445,10070,0,0,0,01,1,1,0,1,1,0
446,10080,0,0,1,01,1,1,1,1,1,1
447,10130,0,0,0,01,1,1,1,1,1,1
448,10150,0,0,0,01,0,1,1,0,1,1
449,10160,0,0,1,01,0,0,0,0,0,0
450,10210,0,0,0,01,0,0,0,0,0,0
451,10240,0,0,1,01,0,0,0,0,0,0
452,10290,0,0,0,01,0,0,0,0,0,0
453,10320,0,0,1,01,0,0,0,0,0,0
454,10370,0,0,0,01,0,0,0,0,0,0
455,10400,0,0,1,01,0,0,0,0,0,0
456,10450,0,0,0,01,0,0,0,0,0,0
457,10480,0,0,1,01,0,0,0,0,0,0
458,10530,0,0,0,01,0,0,0,0,0,0
459,10560,0,0,1,01,0,0,0,0,0,0
460,10610,0,0,0,01,0,0,0,0,0,0
461,10640,0,0,1,01,0,0,0,0,0,0
462,10690,0,0,0,01,0,0,0,0,0,0
463,10720,0,0,1,01,0,0,0,0,0,0
464,10770,0,0,0,01,0,0,0,0,0,0
465,10780,0,0,0,01,1,0,0,1,0,0
466,10790,0,0,0,01,1,1,0,1,1,0
467,10800,0,0,1,01,1,1,1,1,1,1
468,10850,0,0,0,01,1,1,1,1,1,1
469,10880,0,0,1,01,1,1,1,1,1,1
470,10900,0,0,1,02,1,1,1,1,1,1
471,10930,0,0,0,02,1,1,1,1,1,1
472,10950,0,0,0,02,0,1,1,0,1,1
473,10960,0,0,1,02,0,0,0,0,0,0
474,11010,0,0,0,02,0,0,0,0,0,0
475,11020,0,0,0,02,1,0,0,1,0,0
476,11030,0,0,0,02,1,1,0,1,1,0
